Origin,Type,Year,Latitude,Longitude,Import
Germany,Vegetables,2012,51.3819,9.9877,1.4855
Ethiopia,Vegetables,2012,8.435,38.786,4.6466
China,Vegetables,2012,35.1753,99.3877,304.8541
Canada,Vegetables,2012,59.2067,-111.1937,13.3135
Australia,Vegetables,2012,-24.578,133.582,21.667
United States,Vegetables,2011,40.0792,-98.8164,24.2434
Others,Vegetables,2011,,,107.9629
New Zealand,Vegetables,2011,-42.558,172.377,7.4052
Netherlands,Vegetables,2011,52.1704,5.0102,4.6719
Myanmar,Vegetables,2011,21.841,96.05,44.1854
India,Vegetables,2011,22.741,78.236,27.6213
Germany,Vegetables,2011,51.3819,9.9877,2.8826
Ethiopia,Vegetables,2011,8.435,38.786,4.3317
China,Vegetables,2011,35.1753,99.3877,343.1726
Canada,Vegetables,2011,59.2067,-111.1937,11.4479
Australia,Vegetables,2011,-24.578,133.582,21.1587
United States,Vegetables,2010,40.0792,-98.8164,19.9857
Others,Vegetables,2010,,,44.8858
New Zealand,Vegetables,2010,-42.558,172.377,5.9833
Netherlands,Vegetables,2010,52.1704,5.0102,2.4772
Myanmar,Vegetables,2010,21.841,96.05,28.4836
India,Vegetables,2010,22.741,78.236,15.8723
Germany,Vegetables,2010,51.3819,9.9877,0.1379
Ethiopia,Vegetables,2010,8.435,38.786,1.4305
China,Vegetables,2010,35.1753,99.3877,290.7761
Canada,Vegetables,2010,59.2067,-111.1937,7.7207
Australia,Vegetables,2010,-24.578,133.582,14.1511
Zimbabwe,Tobacco,2017,-19.098,30.047,34.8526
United States,Tobacco,2017,40.0792,-98.8164,58.0508
Turkey,Tobacco,2017,39.144,34.188,22.7543
Srilanka,Tobacco,2017,7.3,80.727,10.5864
Others,Tobacco,2017,,,115.929
Italy,Tobacco,2017,44.3713,11.1084,7.9204
India,Tobacco,2017,22.741,78.236,17.7805
Hongkong,Tobacco,2017,22.4114,114.0599,0.0962
Greece,Tobacco,2017,39.787,21.617,3.5533
China,Tobacco,2017,35.1753,99.3877,247.5064
Brazil,Tobacco,2017,-11.694,-48.978,99.6342
Zimbabwe,Tobacco,2016,-19.098,30.047,24.6267
United States,Tobacco,2016,40.0792,-98.8164,59.0946
Turkey,Tobacco,2016,39.144,34.188,44.4198
Srilanka,Tobacco,2016,7.3,80.727,12.8023
Others,Tobacco,2016,,,65.5718
Italy,Tobacco,2016,44.3713,11.1084,4.3844
India,Tobacco,2016,22.741,78.236,14.0552
Hongkong,Tobacco,2016,22.4114,114.0599,0.3877
Greece,Tobacco,2016,39.787,21.617,0.2615
China,Tobacco,2016,35.1753,99.3877,210.06
Brazil,Tobacco,2016,-11.694,-48.978,41.598
Zimbabwe,Tobacco,2015,-19.098,30.047,17.7416
United States,Tobacco,2015,40.0792,-98.8164,43.5493
Turkey,Tobacco,2015,39.144,34.188,39.8401
Srilanka,Tobacco,2015,7.3,80.727,10.7702
Others,Tobacco,2015,,,46.9527
Italy,Tobacco,2015,44.3713,11.1084,8.308
India,Tobacco,2015,22.741,78.236,12.0675
Hongkong,Tobacco,2015,22.4114,114.0599,6.7606
Greece,Tobacco,2015,39.787,21.617,6.3541
China,Tobacco,2015,35.1753,99.3877,187.2622
Brazil,Tobacco,2015,-11.694,-48.978,32.722
Zimbabwe,Tobacco,2014,-19.098,30.047,26.5726
United States,Tobacco,2014,40.0792,-98.8164,44.8255
Turkey,Tobacco,2014,39.144,34.188,47.9767
Srilanka,Tobacco,2014,7.3,80.727,7.8286
Others,Tobacco,2014,,,94.0518
Italy,Tobacco,2014,44.3713,11.1084,15.5906
India,Tobacco,2014,22.741,78.236,17.5891
Hongkong,Tobacco,2014,22.4114,114.0599,0
Greece,Tobacco,2014,39.787,21.617,16.1603
China,Tobacco,2014,35.1753,99.3877,246.8124
Brazil,Tobacco,2014,-11.694,-48.978,52.368
Zimbabwe,Tobacco,2013,-19.098,30.047,16.0931
United States,Tobacco,2013,40.0792,-98.8164,63.7023
Turkey,Tobacco,2013,39.144,34.188,51.0184
Srilanka,Tobacco,2013,7.3,80.727,4.8195
Others,Tobacco,2013,,,132.1584
Italy,Tobacco,2013,44.3713,11.1084,29.385
India,Tobacco,2013,22.741,78.236,18.7606
Hongkong,Tobacco,2013,22.4114,114.0599,0
Greece,Tobacco,2013,39.787,21.617,12.246
China,Tobacco,2013,35.1753,99.3877,250.4885
Brazil,Tobacco,2013,-11.694,-48.978,48.6297
Zimbabwe,Tobacco,2012,-19.098,30.047,24.0411
United States,Tobacco,2012,40.0792,-98.8164,38.6486
Turkey,Tobacco,2012,39.144,34.188,40.2783
Srilanka,Tobacco,2012,7.3,80.727,3.3663
Others,Tobacco,2012,,,123.8025
Italy,Tobacco,2012,44.3713,11.1084,37.4919
India,Tobacco,2012,22.741,78.236,61.7011
Hongkong,Tobacco,2012,22.4114,114.0599,0.6527
Greece,Tobacco,2012,39.787,21.617,14.6108
China,Tobacco,2012,35.1753,99.3877,271.8294
Brazil,Tobacco,2012,-11.694,-48.978,42.4989
Zimbabwe,Tobacco,2011,-19.098,30.047,10.7476
United States,Tobacco,2011,40.0792,-98.8164,30.3447
Turkey,Tobacco,2011,39.144,34.188,43.5565
Srilanka,Tobacco,2011,7.3,80.727,0.3074
Others,Tobacco,2011,,,76.3909
Italy,Tobacco,2011,44.3713,11.1084,0.4636
India,Tobacco,2011,22.741,78.236,30.1325
Hongkong,Tobacco,2011,22.4114,114.0599,0
Greece,Tobacco,2011,39.787,21.617,10.6174
China,Tobacco,2011,35.1753,99.3877,243.9059
Brazil,Tobacco,2011,-11.694,-48.978,60.7215
Zimbabwe,Tobacco,2010,-19.098,30.047,7.7638
United States,Tobacco,2010,40.0792,-98.8164,32.5628
Turkey,Tobacco,2010,39.144,34.188,36.2318
Srilanka,Tobacco,2010,7.3,80.727,0
Others,Tobacco,2010,,,50.5036
Italy,Tobacco,2010,44.3713,11.1084,0.9711
India,Tobacco,2010,22.741,78.236,16.8737
Hongkong,Tobacco,2010,22.4114,114.0599,0
Greece,Tobacco,2010,39.787,21.617,21.2613
China,Tobacco,2010,35.1753,99.3877,177.6018
Brazil,Tobacco,2010,-11.694,-48.978,34.9404
United States,Tellecommunication Equipment,2017,40.0792,-98.8164,0
Sweden,Tellecommunication Equipment,2017,66.2188,19,41.4
Singapore,Tellecommunication Equipment,2017,1.3389,103.8297,400
Republic of Korea,Tellecommunication Equipment,2017,36.338,128.16,185.9
Others,Tellecommunication Equipment,2017,,,1521.1
Malaysia,Tellecommunication Equipment,2017,4.416,102.099,283.6
Japan,Tellecommunication Equipment,2017,35.962,137.855,203.6
India,Tellecommunication Equipment,2017,22.741,78.236,19.7
Hongkong,Tellecommunication Equipment,2017,22.4114,114.0599,129.9
Germany,Tellecommunication Equipment,2017,51.3819,9.9877,23.4
Finland,Tellecommunication Equipment,2017,62.716,26.192,199.1
China,Tellecommunication Equipment,2017,35.1753,99.3877,4419.2
United States,Tellecommunication Equipment,2016,40.0792,-98.8164,0
Sweden,Tellecommunication Equipment,2016,66.2188,19,89.4
Singapore,Tellecommunication Equipment,2016,1.3389,103.8297,233.5
Republic of Korea,Tellecommunication Equipment,2016,36.338,128.16,95.2
Others,Tellecommunication Equipment,2016,,,372.2
Malaysia,Tellecommunication Equipment,2016,4.416,102.099,107.4
Japan,Tellecommunication Equipment,2016,35.962,137.855,35.4
India,Tellecommunication Equipment,2016,22.741,78.236,5.5
Hongkong,Tellecommunication Equipment,2016,22.4114,114.0599,97.3
Germany,Tellecommunication Equipment,2016,51.3819,9.9877,24.5
Finland,Tellecommunication Equipment,2016,62.716,26.192,26.2
China,Tellecommunication Equipment,2016,35.1753,99.3877,2138.2
United States,Tellecommunication Equipment,2015,40.0792,-98.8164,0
Sweden,Tellecommunication Equipment,2015,66.2188,19,169.8
Singapore,Tellecommunication Equipment,2015,1.3389,103.8297,243.4
Republic of Korea,Tellecommunication Equipment,2015,36.338,128.16,126.5
Others,Tellecommunication Equipment,2015,,,673
Malaysia,Tellecommunication Equipment,2015,4.416,102.099,52
Japan,Tellecommunication Equipment,2015,35.962,137.855,27.2
India,Tellecommunication Equipment,2015,22.741,78.236,32.7
Hongkong,Tellecommunication Equipment,2015,22.4114,114.0599,41
Germany,Tellecommunication Equipment,2015,51.3819,9.9877,7
Finland,Tellecommunication Equipment,2015,62.716,26.192,68.7
China,Tellecommunication Equipment,2015,35.1753,99.3877,2353.5
United States,Tellecommunication Equipment,2014,40.0792,-98.8164,0
Sweden,Tellecommunication Equipment,2014,66.2188,19,152.2
Singapore,Tellecommunication Equipment,2014,1.3389,103.8297,259.8
Republic of Korea,Tellecommunication Equipment,2014,36.338,128.16,326.6
Others,Tellecommunication Equipment,2014,,,1399.4
Malaysia,Tellecommunication Equipment,2014,4.416,102.099,295.7
Japan,Tellecommunication Equipment,2014,35.962,137.855,162.2
India,Tellecommunication Equipment,2014,22.741,78.236,30.8
Hongkong,Tellecommunication Equipment,2014,22.4114,114.0599,116.2
Germany,Tellecommunication Equipment,2014,51.3819,9.9877,13.2
Finland,Tellecommunication Equipment,2014,62.716,26.192,270.1
China,Tellecommunication Equipment,2014,35.1753,99.3877,3984.4
United States,Tellecommunication Equipment,2013,40.0792,-98.8164,0
Sweden,Tellecommunication Equipment,2013,66.2188,19,330.6
Singapore,Tellecommunication Equipment,2013,1.3389,103.8297,203.6
Republic of Korea,Tellecommunication Equipment,2013,36.338,128.16,238.9
Others,Tellecommunication Equipment,2013,,,1550.9
Malaysia,Tellecommunication Equipment,2013,4.416,102.099,295.3
Japan,Tellecommunication Equipment,2013,35.962,137.855,184.4
India,Tellecommunication Equipment,2013,22.741,78.236,321
Hongkong,Tellecommunication Equipment,2013,22.4114,114.0599,177.1
Germany,Tellecommunication Equipment,2013,51.3819,9.9877,18.9
Finland,Tellecommunication Equipment,2013,62.716,26.192,189.7
China,Tellecommunication Equipment,2013,35.1753,99.3877,3970.2
United States,Tellecommunication Equipment,2012,40.0792,-98.8164,0
Sweden,Tellecommunication Equipment,2012,66.2188,19,581.9
Singapore,Tellecommunication Equipment,2012,1.3389,103.8297,170.5
Republic of Korea,Tellecommunication Equipment,2012,36.338,128.16,299.5
Others,Tellecommunication Equipment,2012,,,1554.7
Malaysia,Tellecommunication Equipment,2012,4.416,102.099,361
Japan,Tellecommunication Equipment,2012,35.962,137.855,227.5
India,Tellecommunication Equipment,2012,22.741,78.236,303.1
Hongkong,Tellecommunication Equipment,2012,22.4114,114.0599,196.7
Germany,Tellecommunication Equipment,2012,51.3819,9.9877,36.2
Finland,Tellecommunication Equipment,2012,62.716,26.192,116.2
China,Tellecommunication Equipment,2012,35.1753,99.3877,3672.1
United States,Tellecommunication Equipment,2011,40.0792,-98.8164,0
Sweden,Tellecommunication Equipment,2011,66.2188,19,242.9
Singapore,Tellecommunication Equipment,2011,1.3389,103.8297,248.8
Republic of Korea,Tellecommunication Equipment,2011,36.338,128.16,428.6
Others,Tellecommunication Equipment,2011,,,1362.2
Malaysia,Tellecommunication Equipment,2011,4.416,102.099,265.8
Japan,Tellecommunication Equipment,2011,35.962,137.855,255
India,Tellecommunication Equipment,2011,22.741,78.236,266.1
Hongkong,Tellecommunication Equipment,2011,22.4114,114.0599,678.3
Germany,Tellecommunication Equipment,2011,51.3819,9.9877,62.7
Finland,Tellecommunication Equipment,2011,62.716,26.192,272.4
China,Tellecommunication Equipment,2011,35.1753,99.3877,3360.7
United States,Tellecommunication Equipment,2010,40.0792,-98.8164,0
Sweden,Tellecommunication Equipment,2010,66.2188,19,258
Singapore,Tellecommunication Equipment,2010,1.3389,103.8297,284.8
Republic of Korea,Tellecommunication Equipment,2010,36.338,128.16,680.1
Others,Tellecommunication Equipment,2010,,,656
Malaysia,Tellecommunication Equipment,2010,4.416,102.099,202.6
Japan,Tellecommunication Equipment,2010,35.962,137.855,252.1
India,Tellecommunication Equipment,2010,22.741,78.236,396.7
Hongkong,Tellecommunication Equipment,2010,22.4114,114.0599,365.5
Germany,Tellecommunication Equipment,2010,51.3819,9.9877,77.2
Finland,Tellecommunication Equipment,2010,62.716,26.192,199.8
China,Tellecommunication Equipment,2010,35.1753,99.3877,2987.4
United States,Tellecommunication Equipment,2009,40.0792,-98.8164,0
Sweden,Tellecommunication Equipment,2009,66.2188,19,340.2
Singapore,Tellecommunication Equipment,2009,1.3389,103.8297,395.7
Republic of Korea,Tellecommunication Equipment,2009,36.338,128.16,366.8
Others,Tellecommunication Equipment,2009,,,412.5
Malaysia,Tellecommunication Equipment,2009,4.416,102.099,117.9
Japan,Tellecommunication Equipment,2009,35.962,137.855,280
India,Tellecommunication Equipment,2009,22.741,78.236,417.8
Hongkong,Tellecommunication Equipment,2009,22.4114,114.0599,542.3
Germany,Tellecommunication Equipment,2009,51.3819,9.9877,114.4
Finland,Tellecommunication Equipment,2009,62.716,26.192,58
China,Tellecommunication Equipment,2009,35.1753,99.3877,1848
United States,Tellecommunication Equipment,2008,40.0792,-98.8164,0
Sweden,Tellecommunication Equipment,2008,66.2188,19,542.3
Singapore,Tellecommunication Equipment,2008,1.3389,103.8297,1050.1
Republic of Korea,Tellecommunication Equipment,2008,36.338,128.16,434.2
Others,Tellecommunication Equipment,2008,,,615.7
Malaysia,Tellecommunication Equipment,2008,4.416,102.099,203.1
Japan,Tellecommunication Equipment,2008,35.962,137.855,518.6
India,Tellecommunication Equipment,2008,22.741,78.236,226.3
Hongkong,Tellecommunication Equipment,2008,22.4114,114.0599,637.7
Germany,Tellecommunication Equipment,2008,51.3819,9.9877,354.8
Finland,Tellecommunication Equipment,2008,62.716,26.192,160.5
China,Tellecommunication Equipment,2008,35.1753,99.3877,2033.4
United States,Tellecommunication Equipment,2007,40.0792,-98.8164,0
Sweden,Tellecommunication Equipment,2007,66.2188,19,411.6
Singapore,Tellecommunication Equipment,2007,1.3389,103.8297,77.3
Republic of Korea,Tellecommunication Equipment,2007,36.338,128.16,114.6
Others,Tellecommunication Equipment,2007,,,434.2
Malaysia,Tellecommunication Equipment,2007,4.416,102.099,57.5
Japan,Tellecommunication Equipment,2007,35.962,137.855,82.4
India,Tellecommunication Equipment,2007,22.741,78.236,57.1
Hongkong,Tellecommunication Equipment,2007,22.4114,114.0599,136.8
Germany,Tellecommunication Equipment,2007,51.3819,9.9877,282.3
Finland,Tellecommunication Equipment,2007,62.716,26.192,90.6
China,Tellecommunication Equipment,2007,35.1753,99.3877,741.7
United States,Tellecommunication Equipment,2006,40.0792,-98.8164,45.9
Sweden,Tellecommunication Equipment,2006,66.2188,19,288.2
Singapore,Tellecommunication Equipment,2006,1.3389,103.8297,77.2
Republic of Korea,Tellecommunication Equipment,2006,36.338,128.16,50.6
Others,Tellecommunication Equipment,2006,,,176.1
Malaysia,Tellecommunication Equipment,2006,4.416,102.099,46.1
Japan,Tellecommunication Equipment,2006,35.962,137.855,55.1
India,Tellecommunication Equipment,2006,22.741,78.236,0
Hongkong,Tellecommunication Equipment,2006,22.4114,114.0599,55.1
Germany,Tellecommunication Equipment,2006,51.3819,9.9877,93
Finland,Tellecommunication Equipment,2006,62.716,26.192,185
China,Tellecommunication Equipment,2006,35.1753,99.3877,265.3
United States,Tellecommunication Equipment,2005,40.0792,-98.8164,42.7
Sweden,Tellecommunication Equipment,2005,66.2188,19,242.2
Singapore,Tellecommunication Equipment,2005,1.3389,103.8297,29
Republic of Korea,Tellecommunication Equipment,2005,36.338,128.16,79.2
Others,Tellecommunication Equipment,2005,,,176.9
Malaysia,Tellecommunication Equipment,2005,4.416,102.099,33.9
Japan,Tellecommunication Equipment,2005,35.962,137.855,55.9
India,Tellecommunication Equipment,2005,22.741,78.236,0
Hongkong,Tellecommunication Equipment,2005,22.4114,114.0599,41.7
Germany,Tellecommunication Equipment,2005,51.3819,9.9877,261
Finland,Tellecommunication Equipment,2005,62.716,26.192,229
China,Tellecommunication Equipment,2005,35.1753,99.3877,210.5
United States,Tellecommunication Equipment,2004,40.0792,-98.8164,52.8
Sweden,Tellecommunication Equipment,2004,66.2188,19,170.7
Singapore,Tellecommunication Equipment,2004,1.3389,103.8297,29.5
Republic of Korea,Tellecommunication Equipment,2004,36.338,128.16,134
Others,Tellecommunication Equipment,2004,,,131.7
Malaysia,Tellecommunication Equipment,2004,4.416,102.099,42.7
Japan,Tellecommunication Equipment,2004,35.962,137.855,52.9
India,Tellecommunication Equipment,2004,22.741,78.236,0
Hongkong,Tellecommunication Equipment,2004,22.4114,114.0599,20.8
Germany,Tellecommunication Equipment,2004,51.3819,9.9877,255.2
Finland,Tellecommunication Equipment,2004,62.716,26.192,106.5
China,Tellecommunication Equipment,2004,35.1753,99.3877,218.6
United States,Tellecommunication Equipment,2003,40.0792,-98.8164,32.6
Sweden,Tellecommunication Equipment,2003,66.2188,19,40.2
Singapore,Tellecommunication Equipment,2003,1.3389,103.8297,30.3
Republic of Korea,Tellecommunication Equipment,2003,36.338,128.16,116.1
Others,Tellecommunication Equipment,2003,,,156.6
Malaysia,Tellecommunication Equipment,2003,4.416,102.099,23.2
Japan,Tellecommunication Equipment,2003,35.962,137.855,44.9
India,Tellecommunication Equipment,2003,22.741,78.236,0
Hongkong,Tellecommunication Equipment,2003,22.4114,114.0599,15
Germany,Tellecommunication Equipment,2003,51.3819,9.9877,128.9
Finland,Tellecommunication Equipment,2003,62.716,26.192,30.3
China,Tellecommunication Equipment,2003,35.1753,99.3877,85.6
United States,Tellecommunication Equipment,2002,40.0792,-98.8164,26.5
Sweden,Tellecommunication Equipment,2002,66.2188,19,92.6
Singapore,Tellecommunication Equipment,2002,1.3389,103.8297,19.9
Republic of Korea,Tellecommunication Equipment,2002,36.338,128.16,27.2
Others,Tellecommunication Equipment,2002,,,106.2
Malaysia,Tellecommunication Equipment,2002,4.416,102.099,16.3
Japan,Tellecommunication Equipment,2002,35.962,137.855,25
India,Tellecommunication Equipment,2002,22.741,78.236,0
Hongkong,Tellecommunication Equipment,2002,22.4114,114.0599,6.7
Germany,Tellecommunication Equipment,2002,51.3819,9.9877,126.1
Finland,Tellecommunication Equipment,2002,62.716,26.192,10.8
China,Tellecommunication Equipment,2002,35.1753,99.3877,73.8
Thailand,Sugar,2017,15.688,100.845,48.9478
Singapore,Sugar,2017,1.3389,103.8297,0.6766
Republic of Korea,Sugar,2017,36.338,128.16,5.1569
Others,Sugar,2017,,,0.0174
New Zealand,Sugar,2017,-42.558,172.377,0
Malaysia,Sugar,2017,4.416,102.099,0.5086
Hongkong,Sugar,2017,22.4114,114.0599,1.6615
Australia,Sugar,2017,-24.578,133.582,0
Thailand,Sugar,2016,15.688,100.845,77.8576
Singapore,Sugar,2016,1.3389,103.8297,1.9307
Republic of Korea,Sugar,2016,36.338,128.16,4.5988
Others,Sugar,2016,,,3.1452
New Zealand,Sugar,2016,-42.558,172.377,0
Malaysia,Sugar,2016,4.416,102.099,1.8977
Hongkong,Sugar,2016,22.4114,114.0599,0
Australia,Sugar,2016,-24.578,133.582,0
Thailand,Sugar,2015,15.688,100.845,22.147
Singapore,Sugar,2015,1.3389,103.8297,0.5417
Republic of Korea,Sugar,2015,36.338,128.16,2.5337
Others,Sugar,2015,,,0.0163
New Zealand,Sugar,2015,-42.558,172.377,0.5722
Malaysia,Sugar,2015,4.416,102.099,0.7935
Hongkong,Sugar,2015,22.4114,114.0599,2.2616
Australia,Sugar,2015,-24.578,133.582,0.6724
Thailand,Sugar,2014,15.688,100.845,23.5651
Singapore,Sugar,2014,1.3389,103.8297,0.0514
Republic of Korea,Sugar,2014,36.338,128.16,4.7382
Others,Sugar,2014,,,0.04
New Zealand,Sugar,2014,-42.558,172.377,1.9073
Malaysia,Sugar,2014,4.416,102.099,2.0224
Hongkong,Sugar,2014,22.4114,114.0599,0
Australia,Sugar,2014,-24.578,133.582,3.468
Thailand,Sugar,2013,15.688,100.845,31.8593
Singapore,Sugar,2013,1.3389,103.8297,0.5915
Republic of Korea,Sugar,2013,36.338,128.16,4.5442
Others,Sugar,2013,,,0.2646
New Zealand,Sugar,2013,-42.558,172.377,3.8101
Malaysia,Sugar,2013,4.416,102.099,6.4156
Hongkong,Sugar,2013,22.4114,114.0599,0
Australia,Sugar,2013,-24.578,133.582,5.5805
Thailand,Sugar,2012,15.688,100.845,39.0616
Singapore,Sugar,2012,1.3389,103.8297,1.4656
Republic of Korea,Sugar,2012,36.338,128.16,5.04
Others,Sugar,2012,,,2.0289
New Zealand,Sugar,2012,-42.558,172.377,2.3449
Malaysia,Sugar,2012,4.416,102.099,4.0568
Hongkong,Sugar,2012,22.4114,114.0599,0
Australia,Sugar,2012,-24.578,133.582,8.0303
Thailand,Sugar,2011,15.688,100.845,53.993
Singapore,Sugar,2011,1.3389,103.8297,0
Republic of Korea,Sugar,2011,36.338,128.16,5.3659
Others,Sugar,2011,,,62.3295
New Zealand,Sugar,2011,-42.558,172.377,0.0161
Malaysia,Sugar,2011,4.416,102.099,8.3365
Hongkong,Sugar,2011,22.4114,114.0599,0.0001
Australia,Sugar,2011,-24.578,133.582,13.915
Thailand,Sugar,2010,15.688,100.845,356.3032
Singapore,Sugar,2010,1.3389,103.8297,3.1678
Republic of Korea,Sugar,2010,36.338,128.16,12.4361
Others,Sugar,2010,,,15.0742
New Zealand,Sugar,2010,-42.558,172.377,0
Malaysia,Sugar,2010,4.416,102.099,21.0317
Hongkong,Sugar,2010,22.4114,114.0599,0.0001
Australia,Sugar,2010,-24.578,133.582,14.0027
Uruguay,Soybean,2017,-32.948,-56.249,1.0589
United States,Soybean,2017,40.0792,-98.8164,1133.8569
Others,Soybean,2017,,,2.2408
Malaysia,Soybean,2017,4.416,102.099,5.6232
Ethiopia,Soybean,2017,8.435,38.786,0
China,Soybean,2017,35.1753,99.3877,0
Canada,Soybean,2017,59.2067,-111.1937,5.8822
Argentina,Soybean,2017,-33.166,-64.31,2.104
Uruguay,Soybean,2016,-32.948,-56.249,1.1284
United States,Soybean,2016,40.0792,-98.8164,947.2325
Others,Soybean,2016,,,0.1409
Malaysia,Soybean,2016,4.416,102.099,3.0412
Ethiopia,Soybean,2016,8.435,38.786,0
China,Soybean,2016,35.1753,99.3877,2.1895
Canada,Soybean,2016,59.2067,-111.1937,3.6965
Argentina,Soybean,2016,-33.166,-64.31,1.6121
Uruguay,Soybean,2015,-32.948,-56.249,2.1027
United States,Soybean,2015,40.0792,-98.8164,1006.2097
Others,Soybean,2015,,,0.4332
Malaysia,Soybean,2015,4.416,102.099,8.0019
Ethiopia,Soybean,2015,8.435,38.786,0.8807
China,Soybean,2015,35.1753,99.3877,2.7406
Canada,Soybean,2015,59.2067,-111.1937,13.5085
Argentina,Soybean,2015,-33.166,-64.31,0.4893
Uruguay,Soybean,2014,-32.948,-56.249,13.4903
United States,Soybean,2014,40.0792,-98.8164,1120.8018
Others,Soybean,2014,,,2.5671
Malaysia,Soybean,2014,4.416,102.099,10.0454
Ethiopia,Soybean,2014,8.435,38.786,2.4057
China,Soybean,2014,35.1753,99.3877,0.7698
Canada,Soybean,2014,59.2067,-111.1937,13.196
Argentina,Soybean,2014,-33.166,-64.31,13.6469
Uruguay,Soybean,2013,-32.948,-56.249,3.7004
United States,Soybean,2013,40.0792,-98.8164,1013.111
Others,Soybean,2013,,,9.7046
Malaysia,Soybean,2013,4.416,102.099,14.922
Ethiopia,Soybean,2013,8.435,38.786,2.5768
China,Soybean,2013,35.1753,99.3877,0.2709
Canada,Soybean,2013,59.2067,-111.1937,2.6027
Argentina,Soybean,2013,-33.166,-64.31,54.6741
Uruguay,Soybean,2012,-32.948,-56.249,5.201
United States,Soybean,2012,40.0792,-98.8164,1131.5633
Others,Soybean,2012,,,20.2292
Malaysia,Soybean,2012,4.416,102.099,47.4729
Ethiopia,Soybean,2012,8.435,38.786,0.0912
China,Soybean,2012,35.1753,99.3877,0.6303
Canada,Soybean,2012,59.2067,-111.1937,4.6041
Argentina,Soybean,2012,-33.166,-64.31,1.438
Uruguay,Soybean,2011,-32.948,-56.249,9.5762
United States,Soybean,2011,40.0792,-98.8164,1058.6166
Others,Soybean,2011,,,14.0666
Malaysia,Soybean,2011,4.416,102.099,116.4475
Ethiopia,Soybean,2011,8.435,38.786,0.2921
China,Soybean,2011,35.1753,99.3877,1.6591
Canada,Soybean,2011,59.2067,-111.1937,2.9207
Argentina,Soybean,2011,-33.166,-64.31,42.3841
Uruguay,Soybean,2010,-32.948,-56.249,0.6749
United States,Soybean,2010,40.0792,-98.8164,744.0222
Others,Soybean,2010,,,5.3721
Malaysia,Soybean,2010,4.416,102.099,50.1554
